Name,street_address,Rating,Num_Reviews,Url
Asian-American Kitchen by Jook Sing,135B North 5th St,5.0,28,https://www.yelp.com/biz/asian-american-kitchen-by-jook-sing-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Michael's Salumeria,536 Valley Brook Ave,4.5,121,https://www.yelp.com/biz/michaels-salumeria-lyndhurst?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Crepe Guru,110 Bright St,4.5,303,https://www.yelp.com/biz/crepe-guru-jersey-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Teppen Ramen,159 E 55th St,4.5,409,https://www.yelp.com/biz/teppen-ramen-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
OatMeals,120 W 3rd St,4.5,403,https://www.yelp.com/biz/oatmeals-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Sweatshop,232 Metropolitan Ave,4.5,352,https://www.yelp.com/biz/sweatshop-williamsburg?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Cull & Pistol Oyster Bar,75 9th Ave,4.0,637,https://www.yelp.com/biz/cull-and-pistol-oyster-bar-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Uotora,1075 Bergen St,4.5,85,https://www.yelp.com/biz/uotora-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
La Loncheria,41 Wilson Ave,4.5,60,https://www.yelp.com/biz/la-loncheria-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Aroma Trattoria,932 8th Ave,4.5,60,https://www.yelp.com/biz/aroma-trattoria-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Enthaice Thai Kitchen,33-20 31st Ave,4.0,673,https://www.yelp.com/biz/enthaice-thai-kitchen-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Mr.Chicken & Mrs.Tea,150-29 Crossbay Blvd,4.5,64,https://www.yelp.com/biz/mr-chicken-and-mrs-tea-ozone-park?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Reyes Deli & Grocery,532 4th Ave,4.5,213,https://www.yelp.com/biz/reyes-deli-and-grocery-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
El Artesano Restaurant,4101 Bergenline Ave,4.5,203,https://www.yelp.com/biz/el-artesano-restaurant-union-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Eva's Kitchen,11 W 8th St,4.5,401,https://www.yelp.com/biz/evas-kitchen-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Phil-Am Kusina,556 Tompkins Ave,4.5,143,https://www.yelp.com/biz/phil-am-kusina-staten-island?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
