PARID,BOROCODE,Postcode,Borough,Latitude,Longitude,NTA,Street_Address
1004911282,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911283,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911284,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911285,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911286,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911287,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911288,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911289,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911290,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911291,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911292,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911293,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911294,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911295,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911296,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911297,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911298,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911299,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911300,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911301,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
1004911302,1,10013,MANHATTAN,40.725615999999995,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,246 SPRING STREET
